quizName,trainingId,trainingName,maxScores,minScores,difficultyLevel,questionFile
Introduction to JavaScript Quiz,Training_1,Focus bank young role international.,100,50,moderate,questions4.csv
Introduction to JavaScript Quiz,Training_2,Source between back miss whatever.,100,50,easy,questions1.csv
Backend Development with Node.js Quiz,Training_3,Play avoid treat weight.,100,50,moderate,questions5.csv
Web Development Fundamentals Quiz,Training_4,Same item second how probably sort.,100,50,moderate,questions3.csv
Cloud Computing Fundamentals Quiz,Training_5,Everything important send eight vote bit human street.,100,50,easy,questions3.csv
Cloud Computing Fundamentals Quiz,Training_6,Newspaper government watch five.,100,50,moderate,questions1.csv
Cloud Computing Fundamentals Quiz,Training_7,Floor continue cut until bit good probably.,100,50,moderate,questions1.csv
Introduction to Python Quiz,Training_8,Around fly else special care why.,100,50,hard,questions2.csv
Introduction to Python Quiz,Training_9,Music brother again book.,100,50,easy,questions4.csv
Data Science Essentials Quiz,Training_10,My value might total he turn fire shake.,100,50,moderate,questions4.csv
Frontend Development with React Quiz,Training_11,Question here doctor.,100,50,easy,questions1.csv
Cybersecurity Essentials Quiz,Training_12,A financial him hear.,100,50,easy,questions1.csv
Frontend Development with React Quiz,Training_13,Main leave action practice contain see.,100,50,easy,questions1.csv
Introduction to Python Quiz,Training_14,Southern will pressure begin.,100,50,easy,questions5.csv
Introduction to JavaScript Quiz,Training_15,Ok whole question stand cell lead town.,100,50,easy,questions3.csv
Frontend Development with React Quiz,Training_16,Become suffer difference artist back east space lawyer.,100,50,easy,questions4.csv
Introduction to Python Quiz,Training_17,Congress family owner company concern south turn.,100,50,hard,questions3.csv
Machine Learning Basics Quiz,Training_18,Surface action evening within letter.,100,50,moderate,questions3.csv
Introduction to Python Quiz,Training_19,Mrs describe care easy start notice economic wife.,100,50,easy,questions2.csv
Web Development Fundamentals Quiz,Training_20,Show hand mother.,100,50,hard,questions5.csv
Database Management with MongoDB Quiz,Training_21,Partner know project exactly guy spring.,100,50,easy,questions1.csv
Introduction to Python Quiz,Training_22,Finish indicate bar size box that.,100,50,easy,questions3.csv
Introduction to JavaScript Quiz,Training_23,Time rock visit fund.,100,50,hard,questions1.csv
Introduction to Python Quiz,Training_24,Top call model rich evidence yourself writer.,100,50,moderate,questions1.csv
Machine Learning Basics Quiz,Training_25,Movement mission natural agent.,100,50,hard,questions2.csv
Frontend Development with React Quiz,Training_26,Drive fine truth follow early attorney.,100,50,easy,questions5.csv
Machine Learning Basics Quiz,Training_27,Fight read soon gun every position item.,100,50,moderate,questions5.csv
Introduction to JavaScript Quiz,Training_28,Production third relate grow role senior occur.,100,50,easy,questions2.csv
Cybersecurity Essentials Quiz,Training_29,Watch skin idea serve.,100,50,easy,questions3.csv
Introduction to Python Quiz,Training_30,Room TV detail occur.,100,50,moderate,questions5.csv
Backend Development with Node.js Quiz,Training_31,Financial phone character.,100,50,moderate,questions1.csv
Backend Development with Node.js Quiz,Training_32,Enjoy brother author vote doctor their.,100,50,easy,questions1.csv
Introduction to Python Quiz,Training_33,Hand important choice eat.,100,50,moderate,questions2.csv
Frontend Development with React Quiz,Training_34,He land enjoy away.,100,50,hard,questions1.csv
Database Management with MongoDB Quiz,Training_35,Safe case add why.,100,50,hard,questions3.csv
Web Development Fundamentals Quiz,Training_36,Concern teacher race alone economic guess.,100,50,easy,questions3.csv
Web Development Fundamentals Quiz,Training_37,Role establish require mention kid add effect.,100,50,moderate,questions2.csv
Data Science Essentials Quiz,Training_38,Shake public card great medical space yes trip.,100,50,hard,questions3.csv
Data Science Essentials Quiz,Training_39,Seat catch how official.,100,50,easy,questions5.csv
Introduction to JavaScript Quiz,Training_40,Together we herself.,100,50,easy,questions5.csv
Frontend Development with React Quiz,Training_41,Particular once soldier.,100,50,moderate,questions5.csv
Introduction to Python Quiz,Training_42,National above fast fast.,100,50,easy,questions3.csv
Frontend Development with React Quiz,Training_43,Age hope according seat.,100,50,moderate,questions2.csv
Data Science Essentials Quiz,Training_44,Reflect institution country talk boy.,100,50,easy,questions2.csv
Introduction to JavaScript Quiz,Training_45,Dinner rest management short.,100,50,easy,questions2.csv
Introduction to Python Quiz,Training_46,A bill focus common thing.,100,50,moderate,questions2.csv
Frontend Development with React Quiz,Training_47,Say last want one property.,100,50,hard,questions4.csv
Web Development Fundamentals Quiz,Training_48,Scene which job effect left mind action wish.,100,50,easy,questions4.csv
Database Management with MongoDB Quiz,Training_49,Let live personal woman.,100,50,hard,questions3.csv
Web Development Fundamentals Quiz,Training_50,Somebody ability wall civil miss street there.,100,50,moderate,questions5.csv
Cloud Computing Fundamentals Quiz,Training_51,Better expect hard one above stop listen.,100,50,hard,questions4.csv
Introduction to JavaScript Quiz,Training_52,Pay lot skill edge training career summer.,100,50,moderate,questions1.csv
Cybersecurity Essentials Quiz,Training_53,Former vote daughter under on key.,100,50,hard,questions1.csv
Machine Learning Basics Quiz,Training_54,Wall theory food art arm good grow record.,100,50,moderate,questions5.csv
Frontend Development with React Quiz,Training_55,When represent you weight despite others.,100,50,easy,questions3.csv
Introduction to JavaScript Quiz,Training_56,Doctor heavy role nature house.,100,50,moderate,questions5.csv
Introduction to Python Quiz,Training_57,Audience discover own prepare.,100,50,easy,questions1.csv
Backend Development with Node.js Quiz,Training_58,Which growth investment girl effort never.,100,50,moderate,questions3.csv
Introduction to Python Quiz,Training_59,Newspaper politics say new recent rate trouble.,100,50,hard,questions2.csv
Database Management with MongoDB Quiz,Training_60,Color strategy age movement data.,100,50,hard,questions3.csv
Introduction to JavaScript Quiz,Training_61,Describe strong shake area share seven action try.,100,50,moderate,questions2.csv
Data Science Essentials Quiz,Training_62,International will test about throw wonder.,100,50,moderate,questions2.csv
Machine Learning Basics Quiz,Training_63,Month table assume describe interest month between.,100,50,hard,questions5.csv
Backend Development with Node.js Quiz,Training_64,Crime education tough born even response.,100,50,hard,questions2.csv
Web Development Fundamentals Quiz,Training_65,Car anyone exactly job attention.,100,50,moderate,questions1.csv
Machine Learning Basics Quiz,Training_66,Rather practice manage medical whom.,100,50,easy,questions3.csv
Frontend Development with React Quiz,Training_67,Allow player have take break raise.,100,50,moderate,questions1.csv
Cloud Computing Fundamentals Quiz,Training_68,Mission account only could.,100,50,easy,questions3.csv
Web Development Fundamentals Quiz,Training_69,Always similar memory man door hotel simple.,100,50,moderate,questions5.csv
Backend Development with Node.js Quiz,Training_70,Other property sense weight sign people partner.,100,50,easy,questions2.csv
Backend Development with Node.js Quiz,Training_71,Develop manager life final.,100,50,hard,questions4.csv
Introduction to JavaScript Quiz,Training_72,Worker important leader physical authority.,100,50,moderate,questions1.csv
Cybersecurity Essentials Quiz,Training_73,Item drive manage vote.,100,50,easy,questions1.csv
Database Management with MongoDB Quiz,Training_74,Ok board big near science.,100,50,hard,questions1.csv
Frontend Development with React Quiz,Training_75,Matter door young general.,100,50,hard,questions3.csv
Cybersecurity Essentials Quiz,Training_76,Almost it born necessary key economy.,100,50,hard,questions4.csv
Cloud Computing Fundamentals Quiz,Training_77,Any general thus sport expert.,100,50,moderate,questions5.csv
Database Management with MongoDB Quiz,Training_78,Dog national community inside probably.,100,50,moderate,questions5.csv
Database Management with MongoDB Quiz,Training_79,Particular describe ok tax watch study learn.,100,50,easy,questions3.csv
Cloud Computing Fundamentals Quiz,Training_80,Man can chair arrive voice such teacher.,100,50,hard,questions4.csv
Web Development Fundamentals Quiz,Training_81,Reflect at billion eat.,100,50,moderate,questions1.csv
Backend Development with Node.js Quiz,Training_82,Party commercial indicate serve.,100,50,moderate,questions5.csv
Database Management with MongoDB Quiz,Training_83,Political wait drug trade.,100,50,hard,questions5.csv
Database Management with MongoDB Quiz,Training_84,Gas task religious third seat yourself.,100,50,easy,questions5.csv
Data Science Essentials Quiz,Training_85,Hold building stage health especially seek later.,100,50,moderate,questions2.csv
Introduction to JavaScript Quiz,Training_86,Early investment wrong response generation seek.,100,50,hard,questions1.csv
Cloud Computing Fundamentals Quiz,Training_87,Ok century side serve.,100,50,hard,questions2.csv
