userId,trainingId,trainerId,trainingStatus,assessment_percentage_done,assessment_completion_time_in_hours,scoreAchievedInQuiz,quizPassedOrFailed,ratingGivenByTrainer
Emp_181,Training_10,,in_progress,87,,,,4
Emp_172,Training_84,,pending,0,,,,4
Emp_133,Training_69,,in_progress,88,,,,2
Emp_17,Training_83,,pending,0,,,,5
Emp_66,Training_22,,completed,100,28,56,passed,4
Emp_76,Training_4,,in_progress,87,,,,1
Emp_99,Training_71,,completed,100,48,67,passed,4
Emp_21,Training_10,,in_progress,67,,,,5
Emp_27,Training_24,,pending,0,,,,1
Emp_158,Training_17,,completed,100,1,66,passed,2
Emp_160,Training_10,,in_progress,64,,,,5
Emp_48,Training_83,,in_progress,37,,,,4
Emp_110,Training_82,,pending,0,,,,5
Emp_81,Training_65,,pending,0,,,,2
Emp_168,Training_20,,in_progress,49,,,,1
Emp_187,Training_27,,completed,100,12,77,passed,1
Emp_175,Training_78,,in_progress,30,,,,4
Emp_66,Training_94,,completed,100,44,46,failed,2
Emp_84,Training_10,,pending,0,,,,5
Emp_129,Training_79,,completed,100,50,25,failed,2
Emp_22,Training_87,,pending,0,,,,1
Emp_184,Training_65,,completed,100,13,70,passed,5
Emp_68,Training_96,,in_progress,71,,,,5
Emp_12,Training_56,,in_progress,39,,,,4
Emp_151,Training_84,,completed,100,44,14,failed,1
Emp_148,Training_76,,pending,0,,,,5
Emp_156,Training_43,,in_progress,57,,,,3
Emp_90,Training_20,,in_progress,88,,,,5
Emp_36,Training_95,,in_progress,64,,,,4
Emp_5,Training_29,,pending,0,,,,4
Emp_91,Training_14,,completed,100,33,80,passed,3
Emp_109,Training_22,,pending,0,,,,4
Emp_85,Training_71,,in_progress,32,,,,3
Emp_61,Training_95,,in_progress,9,,,,2
Emp_153,Training_47,,pending,0,,,,2
Emp_87,Training_88,,completed,100,29,80,passed,4
Emp_192,Training_25,,in_progress,89,,,,2
Emp_73,Training_78,,in_progress,82,,,,3
Emp_120,Training_82,,completed,100,4,41,failed,5
Emp_102,Training_54,,pending,0,,,,4
Emp_61,Training_6,,in_progress,54,,,,4
Emp_84,Training_94,,in_progress,55,,,,3
Emp_86,Training_23,,in_progress,63,,,,5
Emp_2,Training_12,,completed,100,17,88,passed,1
Emp_159,Training_66,,pending,0,,,,4
Emp_21,Training_57,,pending,0,,,,3
Emp_151,Training_22,,in_progress,17,,,,3
Emp_12,Training_85,,completed,100,29,13,failed,4
Emp_107,Training_56,,completed,100,49,28,failed,5
Emp_61,Training_40,,in_progress,5,,,,2
Emp_116,Training_97,,completed,100,6,73,passed,4
Emp_33,Training_42,,completed,100,58,53,passed,3
Emp_73,Training_86,,pending,0,,,,2
Emp_190,Training_65,,pending,0,,,,1
Emp_56,Training_100,,completed,100,32,34,failed,4
Emp_180,Training_88,,pending,0,,,,2
Emp_48,Training_11,,completed,100,2,96,passed,3
Emp_99,Training_34,,in_progress,40,,,,3
Emp_44,Training_19,,in_progress,87,,,,3
Emp_15,Training_96,,completed,100,30,48,failed,2
Emp_118,Training_52,,in_progress,32,,,,2
Emp_37,Training_91,,pending,0,,,,2
Emp_77,Training_88,,pending,0,,,,4
Emp_77,Training_14,,pending,0,,,,3
Emp_151,Training_17,,completed,100,52,81,passed,1
Emp_136,Training_68,,pending,0,,,,2
Emp_170,Training_20,,completed,100,5,87,passed,1
Emp_126,Training_77,,in_progress,99,,,,3
Emp_108,Training_82,,completed,100,3,14,failed,1
Emp_85,Training_30,,completed,100,20,54,passed,2
Emp_110,Training_96,,completed,100,10,41,failed,3
Emp_152,Training_41,,pending,0,,,,1
Emp_24,Training_76,,in_progress,33,,,,3
Emp_11,Training_30,,in_progress,84,,,,4
Emp_155,Training_83,,completed,100,8,68,passed,1
Emp_136,Training_49,,pending,0,,,,2
Emp_164,Training_19,,completed,100,6,3,failed,2
Emp_168,Training_76,,completed,100,24,21,failed,1
Emp_154,Training_37,,in_progress,47,,,,4
Emp_107,Training_36,,completed,100,13,75,passed,1
Emp_141,Training_14,,pending,0,,,,4
Emp_45,Training_74,,pending,0,,,,3
Emp_77,Training_19,,completed,100,51,21,failed,4
Emp_117,Training_49,,pending,0,,,,3
Emp_133,Training_2,,pending,0,,,,1
Emp_17,Training_64,,completed,100,34,52,passed,5
Emp_169,Training_31,,pending,0,,,,2
Emp_53,Training_20,,pending,0,,,,5
Emp_166,Training_86,,completed,100,60,36,failed,4
Emp_198,Training_93,,pending,0,,,,5
Emp_104,Training_29,,completed,100,38,40,failed,4
Emp_15,Training_63,,pending,0,,,,3
Emp_50,Training_48,,completed,100,58,57,passed,3
Emp_122,Training_62,,pending,0,,,,2
Emp_103,Training_43,,in_progress,86,,,,3
Emp_153,Training_12,,pending,0,,,,1
Emp_103,Training_84,,pending,0,,,,2
Emp_66,Training_7,,pending,0,,,,1
Emp_109,Training_19,,completed,100,45,70,passed,4
Emp_119,Training_20,,in_progress,86,,,,3
Emp_172,Training_98,,in_progress,30,,,,5
Emp_30,Training_79,,pending,0,,,,2
Emp_128,Training_4,,pending,0,,,,4
Emp_77,Training_92,,completed,100,46,26,failed,5
Emp_17,Training_46,,in_progress,9,,,,2
Emp_73,Training_34,,pending,0,,,,1
Emp_146,Training_78,,completed,100,10,74,passed,2
Emp_39,Training_98,,in_progress,37,,,,1
Emp_80,Training_95,,pending,0,,,,5
Emp_20,Training_78,,in_progress,14,,,,2
Emp_65,Training_92,,pending,0,,,,4
Emp_1,Training_10,,completed,100,12,8,failed,2
Emp_14,Training_2,,pending,0,,,,3
Emp_10,Training_30,,in_progress,67,,,,3
Emp_132,Training_84,,in_progress,2,,,,5
Emp_25,Training_68,,pending,0,,,,1
Emp_6,Training_81,,in_progress,54,,,,1
Emp_184,Training_66,,pending,0,,,,2
Emp_71,Training_73,,pending,0,,,,2
Emp_191,Training_19,,completed,100,50,16,failed,5
Emp_194,Training_23,,completed,100,23,97,passed,5
Emp_195,Training_24,,pending,0,,,,4
Emp_61,Training_93,,completed,100,59,92,passed,4
Emp_86,Training_56,,pending,0,,,,4
Emp_113,Training_66,,completed,100,38,61,passed,1
Emp_199,Training_42,,pending,0,,,,1
Emp_20,Training_39,,completed,100,37,6,failed,2
Emp_97,Training_45,,completed,100,19,85,passed,3
Emp_68,Training_56,,in_progress,25,,,,3
Emp_184,Training_99,,in_progress,35,,,,3
Emp_143,Training_28,,completed,100,55,14,failed,1
Emp_89,Training_34,,pending,0,,,,1
Emp_154,Training_41,,pending,0,,,,2
Emp_191,Training_34,,pending,0,,,,1
Emp_119,Training_14,,in_progress,11,,,,4
Emp_57,Training_80,,completed,100,31,4,failed,1
Emp_190,Training_21,,completed,100,22,49,failed,3
Emp_147,Training_29,,in_progress,60,,,,2
Emp_147,Training_36,,completed,100,8,4,failed,4
Emp_58,Training_46,,pending,0,,,,3
Emp_146,Training_61,,completed,100,16,53,passed,2
Emp_25,Training_96,,completed,100,29,67,passed,5
Emp_63,Training_36,,in_progress,97,,,,2
Emp_65,Training_59,,in_progress,6,,,,5
Emp_9,Training_95,,completed,100,47,4,failed,3
Emp_67,Training_28,,in_progress,42,,,,4
Emp_40,Training_47,,in_progress,14,,,,5
Emp_81,Training_2,,in_progress,5,,,,4
Emp_137,Training_82,,completed,100,59,41,failed,2
Emp_109,Training_55,,pending,0,,,,4
Emp_181,Training_45,,pending,0,,,,4
Emp_124,Training_78,,completed,100,5,93,passed,1
Emp_75,Training_5,,completed,100,34,63,passed,1
Emp_108,Training_67,,completed,100,1,2,failed,3
Emp_68,Training_59,,completed,100,34,74,passed,1
Emp_168,Training_62,,pending,0,,,,4
Emp_116,Training_84,,in_progress,81,,,,1
Emp_54,Training_71,,pending,0,,,,2
Emp_157,Training_83,,pending,0,,,,3
Emp_149,Training_6,,in_progress,66,,,,3
Emp_103,Training_53,,in_progress,70,,,,5
Emp_130,Training_24,,completed,100,36,70,passed,4
Emp_155,Training_40,,completed,100,21,50,passed,3
Emp_181,Training_77,,in_progress,85,,,,2
Emp_113,Training_88,,pending,0,,,,3
Emp_131,Training_15,,in_progress,14,,,,2
Emp_179,Training_47,,completed,100,4,88,passed,1
Emp_18,Training_81,,in_progress,7,,,,2
Emp_87,Training_49,,in_progress,47,,,,4
Emp_200,Training_34,,completed,100,56,22,failed,5
Emp_147,Training_94,,in_progress,56,,,,5
Emp_33,Training_80,,pending,0,,,,4
Emp_53,Training_80,,pending,0,,,,5
Emp_167,Training_90,,pending,0,,,,2
Emp_103,Training_69,,completed,100,19,28,failed,3
Emp_124,Training_22,,pending,0,,,,1
Emp_113,Training_41,,pending,0,,,,2
Emp_143,Training_53,,completed,100,8,30,failed,1
Emp_66,Training_16,,pending,0,,,,2
Emp_41,Training_40,,pending,0,,,,2
Emp_196,Training_78,,pending,0,,,,2
Emp_61,Training_10,,in_progress,10,,,,4
Emp_117,Training_80,,pending,0,,,,4
Emp_130,Training_57,,completed,100,23,62,passed,2
Emp_186,Training_34,,completed,100,32,43,failed,4
Emp_133,Training_38,,in_progress,83,,,,5
Emp_108,Training_81,,in_progress,63,,,,5
Emp_129,Training_8,,pending,0,,,,4
Emp_73,Training_84,,pending,0,,,,2
Emp_19,Training_44,,in_progress,48,,,,3
Emp_56,Training_17,,pending,0,,,,5
Emp_76,Training_86,,in_progress,82,,,,1
Emp_185,Training_7,,pending,0,,,,2
Emp_159,Training_88,,in_progress,31,,,,3
Emp_151,Training_52,,in_progress,21,,,,1
Emp_181,Training_76,,pending,0,,,,3
Emp_44,Training_15,,pending,0,,,,4
Emp_38,Training_77,,pending,0,,,,2
Emp_106,Training_42,,pending,0,,,,2
Emp_148,Training_95,,in_progress,46,,,,5
Emp_194,Training_74,,in_progress,4,,,,2
Emp_79,Training_19,,pending,0,,,,1
Emp_194,Training_43,,completed,100,14,4,failed,5
Emp_1,Training_45,,pending,0,,,,5
Emp_149,Training_90,,completed,100,11,84,passed,1
Emp_174,Training_22,,pending,0,,,,1
Emp_67,Training_33,,pending,0,,,,1
Emp_33,Training_80,,pending,0,,,,3
Emp_128,Training_39,,completed,100,1,80,passed,3
Emp_184,Training_88,,in_progress,45,,,,3
Emp_170,Training_52,,pending,0,,,,1
Emp_54,Training_52,,in_progress,97,,,,3
Emp_196,Training_31,,completed,100,36,12,failed,2
Emp_184,Training_60,,pending,0,,,,3
Emp_54,Training_79,,in_progress,34,,,,5
Emp_51,Training_47,,pending,0,,,,3
Emp_108,Training_90,,in_progress,19,,,,4
Emp_16,Training_93,,completed,100,41,61,passed,3
Emp_140,Training_21,,pending,0,,,,2
Emp_18,Training_22,,pending,0,,,,1
Emp_26,Training_84,,completed,100,15,5,failed,2
Emp_149,Training_45,,in_progress,9,,,,2
Emp_29,Training_36,,in_progress,22,,,,1
Emp_192,Training_66,,pending,0,,,,4
Emp_101,Training_2,,in_progress,29,,,,3
Emp_74,Training_49,,completed,100,22,15,failed,4
Emp_123,Training_27,,completed,100,33,68,passed,3
Emp_94,Training_7,,completed,100,19,28,failed,3
Emp_161,Training_22,,in_progress,27,,,,1
Emp_134,Training_86,,in_progress,44,,,,1
Emp_160,Training_17,,pending,0,,,,2
Emp_96,Training_27,,completed,100,34,29,failed,4
Emp_75,Training_54,,pending,0,,,,5
Emp_5,Training_34,,completed,100,41,8,failed,1
Emp_85,Training_4,,in_progress,45,,,,5
Emp_181,Training_77,,completed,100,44,71,passed,2
Emp_187,Training_53,,in_progress,67,,,,1
Emp_140,Training_60,,pending,0,,,,4
Emp_60,Training_97,,in_progress,41,,,,2
Emp_168,Training_65,,pending,0,,,,3
Emp_171,Training_81,,in_progress,20,,,,1
Emp_55,Training_83,,in_progress,97,,,,4
Emp_71,Training_51,,in_progress,100,,,,3
Emp_56,Training_1,,completed,100,9,90,passed,5
Emp_137,Training_84,,in_progress,84,,,,3
Emp_53,Training_1,,completed,100,18,77,passed,2
Emp_75,Training_29,,pending,0,,,,2
Emp_152,Training_73,,in_progress,93,,,,3
Emp_67,Training_82,,pending,0,,,,3
Emp_92,Training_55,,in_progress,26,,,,1
Emp_158,Training_10,,in_progress,23,,,,2
Emp_172,Training_49,,completed,100,49,53,passed,5
Emp_97,Training_54,,in_progress,18,,,,2
Emp_30,Training_33,,completed,100,26,56,passed,3
Emp_129,Training_56,,completed,100,51,28,failed,4
Emp_84,Training_44,,completed,100,56,94,passed,2
Emp_98,Training_90,,pending,0,,,,3
Emp_100,Training_26,,pending,0,,,,1
Emp_149,Training_71,,in_progress,85,,,,3
Emp_190,Training_57,,pending,0,,,,5
Emp_163,Training_11,,pending,0,,,,2
Emp_92,Training_20,,completed,100,59,97,passed,1
Emp_57,Training_44,,in_progress,47,,,,3
Emp_75,Training_36,,completed,100,54,73,passed,1
Emp_200,Training_84,,completed,100,41,23,failed,3
Emp_110,Training_3,,pending,0,,,,1
Emp_148,Training_79,,pending,0,,,,4
Emp_115,Training_88,,pending,0,,,,3
Emp_13,Training_13,,completed,100,58,16,failed,2
Emp_187,Training_63,,pending,0,,,,3
Emp_129,Training_45,,in_progress,79,,,,5
Emp_109,Training_85,,completed,100,1,26,failed,2
Emp_3,Training_70,,completed,100,12,2,failed,2
Emp_68,Training_8,,completed,100,18,60,passed,2
Emp_89,Training_64,,completed,100,49,56,passed,1
Emp_87,Training_71,,in_progress,27,,,,2
Emp_39,Training_4,,in_progress,91,,,,2
Emp_170,Training_60,,completed,100,53,88,passed,1
Emp_96,Training_16,,in_progress,98,,,,2
Emp_94,Training_28,,in_progress,86,,,,5
Emp_142,Training_67,,pending,0,,,,1
Emp_42,Training_29,,completed,100,48,3,failed,2
Emp_184,Training_34,,completed,100,43,62,passed,4
Emp_195,Training_19,,completed,100,7,96,passed,1
Emp_48,Training_95,,completed,100,9,99,passed,4
Emp_184,Training_17,,completed,100,42,38,failed,4
Emp_130,Training_52,,pending,0,,,,4
Emp_183,Training_53,,pending,0,,,,4
Emp_155,Training_57,,pending,0,,,,1
Emp_103,Training_51,,pending,0,,,,5
Emp_63,Training_24,,pending,0,,,,1
Emp_113,Training_11,,completed,100,33,41,failed,5
Emp_81,Training_46,,in_progress,75,,,,2
Emp_79,Training_63,,completed,100,9,49,failed,3
Emp_1,Training_62,,in_progress,98,,,,4
Emp_12,Training_100,,completed,100,43,32,failed,2
Emp_23,Training_62,,completed,100,53,73,passed,3
Emp_134,Training_6,,completed,100,15,45,failed,5
Emp_171,Training_29,,in_progress,98,,,,2
Emp_112,Training_40,,completed,100,28,71,passed,5
Emp_92,Training_40,,pending,0,,,,1
Emp_63,Training_33,,completed,100,32,14,failed,1
Emp_10,Training_53,,completed,100,32,36,failed,2
Emp_57,Training_30,,completed,100,35,24,failed,1
Emp_62,Training_30,,pending,0,,,,3
Emp_52,Training_49,,in_progress,9,,,,2
Emp_166,Training_48,,in_progress,73,,,,3
Emp_119,Training_88,,completed,100,55,72,passed,3
Emp_72,Training_34,,in_progress,68,,,,2
Emp_21,Training_5,,completed,100,7,39,failed,4
Emp_150,Training_95,,in_progress,7,,,,4
Emp_48,Training_66,,pending,0,,,,3
Emp_187,Training_6,,in_progress,57,,,,1
Emp_156,Training_86,,pending,0,,,,3
Emp_67,Training_36,,in_progress,98,,,,4
Emp_72,Training_53,,completed,100,55,3,failed,5
Emp_97,Training_78,,pending,0,,,,3
Emp_145,Training_53,,in_progress,74,,,,3
Emp_5,Training_86,,completed,100,21,97,passed,3
Emp_64,Training_43,,in_progress,25,,,,4
Emp_58,Training_20,,completed,100,38,48,failed,5
Emp_178,Training_25,,pending,0,,,,1
Emp_72,Training_92,,completed,100,15,9,failed,3
Emp_5,Training_87,,pending,0,,,,3
Emp_109,Training_43,,pending,0,,,,2
Emp_134,Training_65,,completed,100,7,33,failed,5
Emp_140,Training_43,,in_progress,90,,,,1
Emp_106,Training_45,,pending,0,,,,3
Emp_159,Training_65,,in_progress,83,,,,1
Emp_158,Training_67,,pending,0,,,,1
Emp_15,Training_78,,in_progress,84,,,,4
Emp_53,Training_65,,pending,0,,,,3
Emp_38,Training_27,,pending,0,,,,1
Emp_199,Training_97,,in_progress,75,,,,1
Emp_150,Training_47,,pending,0,,,,3
Emp_81,Training_78,,completed,100,39,32,failed,2
Emp_51,Training_74,,pending,0,,,,3
Emp_170,Training_37,,in_progress,75,,,,3
Emp_11,Training_47,,pending,0,,,,5
Emp_90,Training_63,,completed,100,25,47,failed,2
Emp_196,Training_43,,completed,100,41,34,failed,4
Emp_80,Training_76,,pending,0,,,,2
Emp_48,Training_28,,completed,100,37,3,failed,3
Emp_65,Training_80,,in_progress,44,,,,5
Emp_29,Training_52,,completed,100,38,95,passed,2
Emp_54,Training_7,,completed,100,53,100,passed,1
Emp_67,Training_99,,in_progress,57,,,,1
Emp_109,Training_28,,in_progress,99,,,,4
Emp_115,Training_61,,completed,100,10,8,failed,4
Emp_4,Training_72,,pending,0,,,,2
Emp_1,Training_18,,pending,0,,,,5
Emp_119,Training_77,,pending,0,,,,1
Emp_41,Training_66,,completed,100,41,74,passed,1
Emp_4,Training_38,,in_progress,61,,,,2
Emp_129,Training_69,,completed,100,43,21,failed,5
Emp_4,Training_86,,completed,100,27,17,failed,5
Emp_63,Training_23,,pending,0,,,,5
Emp_19,Training_11,,in_progress,18,,,,3
Emp_17,Training_58,,in_progress,31,,,,3
Emp_81,Training_41,,completed,100,20,66,passed,2
Emp_130,Training_55,,pending,0,,,,3
Emp_194,Training_36,,pending,0,,,,2
Emp_195,Training_9,,in_progress,26,,,,1
Emp_106,Training_8,,in_progress,57,,,,1
Emp_3,Training_74,,in_progress,67,,,,3
Emp_155,Training_45,,in_progress,70,,,,1
Emp_178,Training_94,,in_progress,69,,,,1
Emp_138,Training_92,,completed,100,5,22,failed,1
Emp_36,Training_17,,completed,100,24,54,passed,4
Emp_56,Training_82,,pending,0,,,,2
Emp_50,Training_90,,in_progress,2,,,,4
Emp_180,Training_81,,completed,100,58,33,failed,2
Emp_24,Training_55,,in_progress,44,,,,2
Emp_15,Training_71,,in_progress,92,,,,2
Emp_128,Training_84,,pending,0,,,,2
Emp_56,Training_57,,in_progress,17,,,,2
Emp_172,Training_84,,in_progress,65,,,,1
Emp_71,Training_71,,completed,100,52,19,failed,5
Emp_76,Training_37,,pending,0,,,,3
Emp_114,Training_70,,in_progress,62,,,,3
Emp_153,Training_41,,pending,0,,,,5
Emp_172,Training_22,,pending,0,,,,2
Emp_200,Training_46,,pending,0,,,,5
Emp_63,Training_13,,pending,0,,,,4
Emp_68,Training_18,,completed,100,8,57,passed,1
Emp_66,Training_17,,completed,100,57,73,passed,5
Emp_199,Training_7,,in_progress,5,,,,2
Emp_43,Training_8,,in_progress,96,,,,5
Emp_182,Training_36,,in_progress,77,,,,4
Emp_174,Training_98,,completed,100,8,25,failed,5
Emp_37,Training_10,,completed,100,47,67,passed,1
Emp_159,Training_61,,pending,0,,,,2
Emp_164,Training_36,,completed,100,45,18,failed,5
Emp_101,Training_20,,pending,0,,,,1
Emp_90,Training_3,,pending,0,,,,4
Emp_171,Training_31,,pending,0,,,,2
Emp_192,Training_99,,completed,100,22,34,failed,1
Emp_15,Training_97,,completed,100,45,75,passed,3
Emp_95,Training_10,,completed,100,34,37,failed,5
Emp_133,Training_7,,in_progress,98,,,,1
Emp_159,Training_97,,completed,100,60,0,failed,5
Emp_24,Training_78,,completed,100,8,82,passed,1
Emp_1,Training_6,,in_progress,61,,,,1
Emp_55,Training_86,,completed,100,51,7,failed,4
Emp_63,Training_1,,completed,100,19,44,failed,5
Emp_166,Training_92,,pending,0,,,,4
Emp_199,Training_5,,completed,100,23,10,failed,4
Emp_149,Training_1,,pending,0,,,,3
Emp_198,Training_19,,completed,100,50,2,failed,1
Emp_135,Training_40,,in_progress,60,,,,1
Emp_70,Training_63,,in_progress,54,,,,3
Emp_72,Training_90,,pending,0,,,,4
Emp_148,Training_21,,pending,0,,,,2
Emp_176,Training_1,,completed,100,57,53,passed,3
Emp_87,Training_1,,in_progress,2,,,,2
Emp_128,Training_62,,pending,0,,,,5
Emp_7,Training_23,,completed,100,47,92,passed,4
Emp_143,Training_84,,pending,0,,,,1
Emp_185,Training_98,,completed,100,28,39,failed,1
Emp_12,Training_85,,completed,100,6,77,passed,2
Emp_180,Training_6,,completed,100,45,81,passed,1
Emp_41,Training_52,,in_progress,24,,,,1
Emp_164,Training_28,,in_progress,60,,,,1
Emp_37,Training_77,,pending,0,,,,3
Emp_90,Training_72,,pending,0,,,,5
Emp_156,Training_97,,completed,100,16,67,passed,3
Emp_58,Training_94,,pending,0,,,,1
Emp_34,Training_19,,completed,100,27,60,passed,5
Emp_40,Training_61,,in_progress,49,,,,2
Emp_158,Training_34,,pending,0,,,,2
Emp_167,Training_58,,pending,0,,,,2
Emp_78,Training_44,,completed,100,57,61,passed,5
Emp_35,Training_49,,pending,0,,,,2
Emp_164,Training_8,,in_progress,43,,,,5
Emp_69,Training_75,,pending,0,,,,4
Emp_59,Training_4,,pending,0,,,,3
Emp_200,Training_67,,completed,100,18,17,failed,1
Emp_33,Training_7,,completed,100,21,98,passed,3
Emp_176,Training_36,,pending,0,,,,4
Emp_175,Training_42,,in_progress,98,,,,2
Emp_36,Training_95,,in_progress,72,,,,5
Emp_104,Training_26,,in_progress,9,,,,5
Emp_88,Training_52,,completed,100,7,19,failed,4
Emp_122,Training_55,,pending,0,,,,5
Emp_166,Training_12,,in_progress,78,,,,1
Emp_147,Training_41,,in_progress,7,,,,2
Emp_1,Training_17,,pending,0,,,,1
Emp_43,Training_49,,in_progress,61,,,,4
Emp_24,Training_8,,completed,100,11,12,failed,5
Emp_28,Training_47,,completed,100,58,27,failed,1
Emp_140,Training_36,,pending,0,,,,3
Emp_99,Training_20,,in_progress,2,,,,4
Emp_5,Training_49,,completed,100,35,75,passed,3
Emp_12,Training_74,,completed,100,35,40,failed,5
Emp_121,Training_52,,in_progress,88,,,,3
Emp_108,Training_21,,completed,100,47,69,passed,4
Emp_164,Training_97,,in_progress,74,,,,5
Emp_174,Training_38,,completed,100,13,96,passed,2
Emp_61,Training_76,,pending,0,,,,2
Emp_108,Training_9,,pending,0,,,,2
Emp_125,Training_4,,pending,0,,,,5
Emp_194,Training_44,,completed,100,43,95,passed,3
Emp_195,Training_46,,in_progress,11,,,,2
Emp_171,Training_69,,pending,0,,,,1
Emp_165,Training_92,,in_progress,67,,,,5
Emp_179,Training_76,,pending,0,,,,3
Emp_113,Training_93,,in_progress,99,,,,3
Emp_31,Training_42,,in_progress,90,,,,4
Emp_68,Training_73,,completed,100,12,19,failed,4
Emp_37,Training_90,,pending,0,,,,4
Emp_158,Training_54,,in_progress,71,,,,2
Emp_56,Training_20,,in_progress,71,,,,2
Emp_120,Training_77,,pending,0,,,,2
Emp_113,Training_12,,in_progress,40,,,,5
Emp_172,Training_80,,in_progress,75,,,,1
Emp_123,Training_30,,in_progress,28,,,,4
Emp_34,Training_82,,completed,100,8,88,passed,5
Emp_32,Training_73,,completed,100,25,23,failed,5
Emp_146,Training_37,,pending,0,,,,4
Emp_173,Training_53,,completed,100,14,97,passed,3
Emp_170,Training_56,,in_progress,82,,,,4
Emp_17,Training_98,,in_progress,75,,,,2
Emp_176,Training_17,,completed,100,43,85,passed,4
Emp_68,Training_90,,pending,0,,,,5
Emp_97,Training_21,,pending,0,,,,4
Emp_113,Training_72,,in_progress,45,,,,5
Emp_5,Training_45,,in_progress,65,,,,3
Emp_99,Training_3,,pending,0,,,,2
Emp_141,Training_70,,in_progress,21,,,,4
Emp_73,Training_10,,in_progress,2,,,,1
Emp_98,Training_94,,pending,0,,,,4
Emp_48,Training_37,,in_progress,76,,,,2
Emp_173,Training_90,,pending,0,,,,3
Emp_31,Training_7,,pending,0,,,,2
Emp_94,Training_19,,completed,100,37,38,failed,5
Emp_60,Training_1,,pending,0,,,,3
Emp_30,Training_2,,pending,0,,,,4
Emp_15,Training_44,,pending,0,,,,2
Emp_161,Training_6,,in_progress,93,,,,5
