userId,trainingId,trainerId,trainingStatus,assessment_percentage_done,assessment_completion_time_in_hours,scoreAchievedInQuiz,quizPassedOrFailed,ratingGivenByTrainer
3880236072,21,5132755481,pending,0,0,0,"",""
1394546766,13,4775284066,completed,100,60,27,Fail,1
5079882461,22,6357984299,pending,0,0,0,"",""
4015493149,22,3350349724,pending,0,0,0,"",""
8730749381,19,8283012115,pending,0,0,0,"",""
4320217863,11,9792809882,in_progress,10,60,80,Pass,4
6275961875,8,2258411288,pending,0,0,0,"",""
9189646631,28,2678636976,completed,100,35,39,Fail,3
6267349700,6,9635606807,completed,100,60,50,Pass,1
4015493149,3,7885676645,completed,100,72,97,Pass,4
9423066815,17,7244170133,in_progress,24,2,15,Fail,5
8059801309,24,8238070968,completed,100,4,9,Fail,2
48855652,28,2678636976,pending,0,0,0,"",""
9792809882,12,7340725304,pending,0,0,0,"",""
7892028849,10,6035574711,in_progress,5,40,58,Pass,1
7065370035,13,9544996040,completed,100,13,69,Pass,4
4119575358,23,7155083641,completed,100,38,10,Fail,5
7104470136,28,7836948947,completed,100,68,19,Fail,4
6219493172,6,6563638213,completed,100,56,70,Pass,4
945889098,13,3350349724,completed,100,18,53,Pass,5
537261368,20,2989366907,in_progress,96,3,28,Fail,1
4868810599,5,4775284066,completed,100,52,19,Fail,1
3206472546,17,7155083641,in_progress,23,34,54,Pass,3
2996377637,16,7836948947,pending,0,0,0,"",""
8427259141,14,6035574711,completed,100,53,1,Fail,2
5247087134,1,5313661905,pending,0,0,0,"",""
48855652,2,7885676645,completed,100,69,36,Fail,2
5739782022,22,5313661905,in_progress,99,72,98,Pass,4
1981420456,22,5854306653,completed,100,59,98,Pass,2
6478589920,23,4775284066,in_progress,96,99,44,Fail,3
1574480523,2,4775284066,pending,0,0,0,"",""
8175605589,16,7401098269,pending,0,0,0,"",""
596401387,26,5854306653,in_progress,91,55,56,Pass,4
3036527204,3,8283012115,in_progress,40,87,45,Fail,5
5862283277,4,9635606807,in_progress,99,11,50,Pass,3
9691686488,6,9544996040,in_progress,43,24,46,Fail,4
7887169217,26,6871274311,pending,0,0,0,"",""
7030929352,11,9544996040,in_progress,18,45,41,Fail,3
8921184177,26,7401098269,in_progress,27,18,63,Pass,2
8598153345,14,8283012115,pending,0,0,0,"",""
9667458545,12,7401098269,pending,0,0,0,"",""
8852478550,18,2678636976,pending,0,0,0,"",""
2254246565,5,882656711,completed,100,9,75,Pass,4
