quizName,trainingId,trainingName,maxScores,minScores,difficultyLevel,questionFile
Web Development Fundamentals Quiz,Training_1,Key western partner dog attack.,100,50,easy,questions5.csv
Machine Learning Basics Quiz,Training_2,Son bit man process point.,100,50,hard,questions1.csv
Machine Learning Basics Quiz,Training_3,Draw little almost respond.,100,50,hard,questions3.csv
Introduction to JavaScript Quiz,Training_4,I study kid within exist threat marriage.,100,50,moderate,questions3.csv
Backend Development with Node.js Quiz,Training_5,Sing family accept personal opportunity.,100,50,moderate,questions4.csv
Backend Development with Node.js Quiz,Training_6,Order letter they its American.,100,50,moderate,questions4.csv
Machine Learning Basics Quiz,Training_7,One me generation drop laugh.,100,50,easy,questions5.csv
Web Development Fundamentals Quiz,Training_8,Federal their and imagine foot when.,100,50,hard,questions5.csv
Introduction to JavaScript Quiz,Training_9,Model follow tree short successful billion similar dinner.,100,50,easy,questions5.csv
Database Management with MongoDB Quiz,Training_10,Ball human hit know.,100,50,moderate,questions4.csv
Backend Development with Node.js Quiz,Training_11,Sister weight put nice.,100,50,hard,questions1.csv
Cloud Computing Fundamentals Quiz,Training_12,Tend outside either although executive.,100,50,easy,questions1.csv
Cybersecurity Essentials Quiz,Training_13,Western carry culture.,100,50,hard,questions2.csv
Frontend Development with React Quiz,Training_14,World fish tonight account meet.,100,50,moderate,questions5.csv
Cybersecurity Essentials Quiz,Training_15,Right number number discover professional.,100,50,moderate,questions4.csv
Frontend Development with React Quiz,Training_16,Music candidate red who loss short fill.,100,50,hard,questions1.csv
Web Development Fundamentals Quiz,Training_17,Spend fight attention administration national throughout respond.,100,50,easy,questions3.csv
Database Management with MongoDB Quiz,Training_18,Idea article agree program information.,100,50,easy,questions2.csv
Web Development Fundamentals Quiz,Training_19,Former whether people act degree ever.,100,50,moderate,questions5.csv
Database Management with MongoDB Quiz,Training_20,Deal city student successful money.,100,50,hard,questions1.csv
Database Management with MongoDB Quiz,Training_21,Alone book film wife do.,100,50,hard,questions2.csv
Database Management with MongoDB Quiz,Training_22,Natural property science within.,100,50,hard,questions5.csv
Database Management with MongoDB Quiz,Training_23,Red artist by book.,100,50,hard,questions1.csv
Introduction to Python Quiz,Training_24,Story hard establish yourself small foreign term.,100,50,easy,questions5.csv
Frontend Development with React Quiz,Training_25,Possible cost visit per town full.,100,50,easy,questions3.csv
Web Development Fundamentals Quiz,Training_26,Great along option arrive wear child safe develop.,100,50,moderate,questions1.csv
Web Development Fundamentals Quiz,Training_27,Herself pass training key poor money.,100,50,easy,questions1.csv
